スクショ,投稿文,リプ,いいね,インプ,日時,URL
,"いつも別垢のジャンル(非稼ぐ系)にいるので、ここに来て何投稿するか悩む。でも、とにかくアフィ垢頑張ってる人、今から頑張ろうとしてる人と繋がりたい！よろしくお願いしますჱ̒՞ ̳ᴗ ̫ ᴗ ̳՞꒱







",3,6,799,2025/5/18 7:13:36,https://www.threads.com/@pu__ko.sns/post/DJxWJ0Nz9JC
,"先月楽天だけで36マソ！！しかも運用1ヶ月目だよ！！アフィとThreadsって相性良すぎて明るい未来しか見えない🦌































",10,26,"2,417",2025/5/18 7:43:44,https://www.threads.com/@pu__ko.sns/post/DJxZmcuz_tF
,"検証用に別垢立ち上げて1週間。フォロワー5人、表示1000回でも収益1万生み出せた。これが何を意味してるかは言わなくても分かるよね。もう再現性高すぎてどのジャンルでやっても上手くいく気がしてならない。

このアカウント1日1投稿しかしてない＆作業時間1日5分以内…もっと投稿したらどうなるんだ…













",1,3,"1,350",2025/5/18 18:57:52,https://www.threads.com/@pu__ko.sns/post/DJymv6iz2GE
,"インスタ運用はリサーチ、台本、撮影、編集、投稿、ストーリーとやること多すぎてやる前から挫折した私ですが、Threadsでアフィ始めてみたら仰天。スキマ時間スマホ1台でお給料以上作れる…SNSフク業始めたい皆さんまずはここからやってみてください。世界変わります。





",6,2,861,2025/5/18 19:35:38,https://www.threads.com/@pu__ko.sns/post/DJyrEm1ztHW
,"物価高の世の中+5万くらい作れたらいいな〜くらいの気持ちで始めたアフィ。社畜型OLなので1日1時間も作業できませんでしたが、気づけばこの成果。物価高な世の中、フク業始めたい人も多いはず。このアカウントで私みたいな人を1人でも増やすことが目標です。







",0,4,662,2025/5/19 9:48:41,https://www.threads.com/@pu__ko.sns/post/DJ0MsgYzhxh
,"初月36マソ生み出して分かった楽天アフィリエイトの魅力について語ります👇🏻

・初期費用不要
→フク業をやる時は普通かかるからありがたい
・スマホ1台どこでもできる
→通勤時間やスキマ時間、SNS見る時間を有効に使える
・商品数が多いのでネタ切れしない
→楽天グループ全ての商品を取り扱い可能
・自分が紹介したものじゃなくても売上に入る
→実はこれが1番おいしいところ
・キャンペーンとセールの時は売上倍に
→投稿数増やせばガッツリかせgる

















",1,3,696,2025/5/19 10:46:21,https://www.threads.com/@pu__ko.sns/post/DJ0TS3fz0r6
,"バズらせるにはコツがあります。間違いなくジャンルによって上手い運用の型みたいなのもあります。それを知ってるか知らないかでアフィの成果も大きく変わる。それが運用していて1番思うことです。

ちなみに画像はアフィ垢の現在。今は狙ってファン化とバズ投稿作り分けてます🙂‍↕️
Threads×アフィフク業で月5マソ以上作りたい人は
@pu__ko.sns
 をフォローしておいて下さいね！🤍






















",4,7,"1,381",2025/5/19 23:54:23,https://www.threads.com/@pu__ko.sns/post/DJ1temJT62D
,"別に仕事やめたいわけじゃないし、ブランド物がほしいとかじゃない。ただ、美容にもう少しお金かけられたり、好きな洋服を我慢せずに買えたり。そういう「ちょっとの余裕」がある暮らしがしたいだけ。そんな気持ちで今日もアフィと向き合ってる。






",0,5,751,2025/5/20 10:41:42,https://www.threads.com/@pu__ko.sns/post/DJ23jpHzDHX
,"フォロワー1万人達成するまでに心がけたこと5つ
①投稿は1日3つ以上(有益情報も必ず)
②DMやリプ返しは丁寧すぎるほど丁寧に
③バズ投稿はこすって投稿
④リサーチはx、Threadsどっちもやる
⑤読み手の悩みを確実に言語化する






",0,11,"1,143",2025/5/20 11:27:10,https://www.threads.com/@pu__ko.sns/post/DJ28wq_TgcH
,"昨日は1つもアフィリンクを置かなかったので当然こうなる。沢山フォロワーがいても、バズ投稿を作れても、売上続けるには毎日何かしらのアフィをしなければならない。じゃ、一体昨日は何をしていたかというと…

日付  成果報酬  クリック数  売上件数

そのアカウントから商品を買いたくなるようなファン化と教育。色んなアカウント見てきたけど、毎日アフィばかりするのはナンセンスだと思ってる。ずっと追い続けたくなるようなアカウントになるようにリサーチする時間も大切にしなきゃね🙂‍↕️




















",1,4,768,2025/5/20 15:21:48,https://www.threads.com/@pu__ko.sns/post/DJ3XnNaz0Fj
,"フォロワーを増やすならバズ投稿の下にフォロー誘導を一言置いておこう！！その時は必ずフォローしたらどんな未来になるかを書くこと。
例えば育児の便利グッズを紹介するアカウントなら、
「育児がもっとラクに、もっと楽しくなるヒントを受け取りたい方はフォローしておいて損なしです！
→@○○○○○○」
という感じ！バズったからって急に商品置かないでね。







",0,7,751,2025/5/20 21:15:02,https://www.threads.com/@pu__ko.sns/post/DJ4ACTBz5ZO
,"これはどんなジャンルにも通用するのですが、アカウント初期からインサイトは大事にした方がいいです。自分をフォローしてくれる年齢層、いいね、フォローがどの投稿からあるか、そこを理解して次の投稿を作る。これができないと当然伸びません。アフィは集客が命です。






",0,4,855,2025/5/20 23:14:07,https://www.threads.com/@pu__ko.sns/post/DJ4Nqkrz0z7
,"頭に叩き込んでおいてほしいことは、自分が紹介したいものじゃなくて人が求めるものを紹介すること！ちゃんとリサーチ、悩みを言語化、届くべき人に届けば必ず売れる。今伸び悩んでる人はそこができてないことが多い。自分が紹介したいものばっかりじゃだめよ〜







",2,7,852,2025/5/21 10:52:01,https://www.threads.com/@pu__ko.sns/post/DJ5diHOz-3D
,"これ言うか迷いましたが、Threads×楽天アフィ運用1ヶ月で36マソ出したとき、実はほぼAIに投稿作らせていました。当然自分で1から書くよりAIと壁打ちした方がタイパがいいです。自分の文章力を磨くより、AIの使い手になる方が最短で伸ばせますよ。でも注意してほしいことがあって…

絶対に自分の言葉に修正すること。AIはAIでしかありません。AIだけに書かせた文章は響きません(検証済み)自分が消費者側にたった時、その文章でClickしたくなるか、買いたくなるか1度考えてみてください。想いが籠った文章かどうかなんてすぐ見抜かれます。

ちなみにこのアカウントではAIは使いません😌ぜんぶ私の言葉で綴ります。
































",2,16,"2,176",2025/5/21 12:09:01,https://www.threads.com/@pu__ko.sns/post/DJ5mWFrTZu5
,"Threads×noteも流行ってますよね。でも私はアフィ推しです。SNS初心者で実績なくても、noteに書くネタなくても、スマホ1台で1日1時間あれば余裕です。肩書きなんていらないです。たまにサボってもいいです。次の日からまた投稿すればいいです。






",0,5,"1,017",2025/5/21 14:19:31,https://www.threads.com/@pu__ko.sns/post/DJ51R2sztGj
,"アフィ垢ではインプ1万を下回る日がありません！
昨日も20万インプ近くいったけどこれが日常。日頃の投稿から既存フォロワーさんでも追いかけたくなるような存在になることが大切です！🦌






",0,8,"1,217",2025/5/22 8:55:49,https://www.threads.com/@pu__ko.sns/post/DJ71B94T-QY
,"毎日1投稿でもいいから継続することが大事！それが一番成功への近道だから。日中は家事育児仕事でお疲れの中、リサーチしただけでも、投稿1個できただけでも偉い！ほんとすごい！！！自分は自分で褒めていこう！！





",0,10,846,2025/5/22 21:21:21,https://www.threads.com/@pu__ko.sns/post/DJ9KWUnzc-x
,"どんなジャンルならうまくいきますか？
…リサーチ必須です！Xで上手くいってるジャンルは基本的にThreadsでも伸びる可能性が高いです！あとは自分が好きなジャンルじゃないと長く続かないしリサーチが苦痛でやめちゃう原因になります。





",10,7,880,2025/5/23 9:50:16,https://www.threads.com/@pu__ko.sns/post/DJ-gDmVTCXw
,"Threadsで楽天アフィを始めようと思ってるあなたへ🔰1日目新規アカウントを設計したその直後すぐにアフィリンクを貼るのは絶対NG！！！投稿消されるか、ひどいとばんされる危険あり🥲私の知り合いは秒でばんされていた(笑)
数投稿した後、早くてもアカウント作った翌日からアフィは始めてください！約束ね！






",0,9,828,2025/5/23 10:50:32,https://www.threads.com/@pu__ko.sns/post/DJ-m9CFzXDT
,"早く0→1を達成したいなら、テクニックなんか考えずに毎日10投稿してみて。とにかく手を動かしてリサーチと投稿に慣れること。最短で結果を出す人はまずは量から攻めてる。PDCAサイクルを回せるのは行動に移せた人だけだよ。






",0,8,888,2025/5/23 14:03:39,https://www.threads.com/@pu__ko.sns/post/DJ-9Dbxz4gt
,"えっえっえっ、アフィ垢にギフティングしたいって企業さまからDM来たんだけど…(これで2件目)
企業さんにも届いてるとか嬉しすぎる😭
頑張ってきてよかった！！！

ギフティングって何？という方へ🔰
ギフティングは一言でいうと、
企業から商品を無料でもらって、SNSで紹介すること
です！！！一貫性のある投稿をしつつ、フォロワーが増えてくると、企業さん側から声がかかることも🥹
色んな商品が試せて地味に嬉しい🫶🏻















",1,14,"1,607",2025/5/23 15:06:21,https://www.threads.com/@pu__ko.sns/post/DJ_EOn6zMst
,"むむむ！！！！もうフォロワーさん100人！！！
嬉しすぎる…！！！！
いつも見てくださってありがとうございます🙇‍♀️

皆さんのアカウントが伸ばせるように私ももっともっと勉強して発信していきます！！🕊️







",0,6,957,2025/5/23 19:14:49,https://www.threads.com/@pu__ko.sns/post/DJ_gqd4T-pX
,"厳しいことを言うようですが、アフィをすることが悪い事だとネガティブな思考を持っている限りその商品は売れませんよ。「こんなに素敵なものがあるから共有したい」「きっとこんな情報があれば助かる人がいるだろう」そんな気持ちでいつも運営することが大事です。もちろん私もその気持ちで毎日投稿し続けています！






",0,16,"1,042",2025/5/23 20:26:23,https://www.threads.com/@pu__ko.sns/post/DJ_o2nuTkPG
,"⚠︎バズをバズのままで終わらせないで⚠︎︎
あなたは投稿がバズったら次に何をする？？？
…伸びたことへのお礼？
…適当にアフィリンク貼っとく？
…自己紹介？

うーん、ちがう。

バズるという事は、プロフに人が集まり、投稿を見てくれる大大大大大チャンス。仕掛けるなら今。バズに関連する投稿でもっと売れ！！！

・なんでバズったか分析(これ絶対)
・関連投稿で仕掛ける
・新規さん向けにフォロー導線を確保

バズって終わるのはただの素人。
次に繋げてこそ継続的に売れる人になれる。






",2,16,"1,393",2025/5/23 22:07:55,https://www.threads.com/@pu__ko.sns/post/DJ_0eS8zHr5
,"書いては消して、書いては消して、何投稿したらいいか分からないっていう日もあるよね。でも何も投稿しないより、1本出そう。もしかしたらそれがバズるかもしれないし、ファンになってくれる人がいるかもしれない。アフィが1つも成約しなくてもその投稿が誰かの心を少しでも動かせたらそれでいいと思ってる。






",0,13,842,2025/5/24 16:12:33,https://www.threads.com/@pu__ko.sns/post/DKBwmWXTdqN
,"明日はお買い物マラソン×5のつく日×日曜日という楽天アフィリエイトを頑張る人にとっては決戦日。私の経験上、金曜の夜、土曜の夜、日曜の昼は投稿の伸びがいいです。あと伸びも考慮して今日はたっぷり投稿作っておこう。私もどんどん作りますよぉぉ！！！






",0,11,871,2025/5/24 17:14:13,https://www.threads.com/@pu__ko.sns/post/DKB3qGyzzdr
,"トレンドが目まぐるしく変わり続けるThreads界隈についていけないという方に朗報です。ジャンルによってはトレンドに左右されにくいものもたくさんあります。自分はどんなタイプなのか見極めてから発信していきましょう。私はちなみにトレンドに疎いタイプなのでトレンドワードなど一切使わずアフィ垢運用しております！私のおすすめなジャンルは…

ずばり「悩み系×日常密着型」！！！✊🏻
たとえば、
・健康グッズなどの体調改善ジャンル
・スキンケアなどの美容ジャンル
・家計管理、節約、お金ジャンル
・便利グッズ、子育てグッズなどの生活ジャンル
・コスパ旅、旅行グッズなどの旅ジャンル
など、「ずっとニーズがある×自分の生活に根付いてる」ジャンルは、トレンドに振り回されにくく安定感バツグン🙂‍↕️
“映え”や“流行り”に頼らずとも、発信者のリアルさや経験が信頼・売上につながるよ。
トレンドに敏感じゃなくても、ちゃんと価値あるアカウントは作れる。むしろ“自分らしさ”を武器にした方が長く続くって思う🫰🏻






















",1,6,"1,118",2025/5/24 18:23:50,https://www.threads.com/@pu__ko.sns/post/DKB_oAOT27c
,"来月は楽天スーパーセールもあるし、確実50マソは狙える。複数アカウント運用中なので今のうちからしっかり稼働させていく。その経過等も随時ここで発信していくのでぜひフォローして待っててくださいね。






",0,8,959,2025/5/24 19:20:51,https://www.threads.com/@pu__ko.sns/post/DKCGJggTPTp
,"バズりそうってどうやって予測してるの？
…私の場合、1時間で1000表示超えたらこりゃバズりそうやな〜って見極めてます(フォロワー数によるけど)
そして、その投稿にフォロー導線をくっけておくとフォロワーさんが増えるって訳です。てことでまずは1時間で1000表示超える投稿を作れるようになりましょう！🙂‍↕️






",0,8,890,2025/5/24 21:57:03,https://www.threads.com/@pu__ko.sns/post/DKCYBlczKMB
,"まだ伸ばしきれていな状態で複数アカウントを運用するのはナンセンスです！！！Threadsに1日8時間以上使えるレアキャラさんは別として、普通の人だと間違いなく力が分散してしまいます。まずは、自分が作った1つ目のアカウントを伸ばすのに一生懸命になってみてください。何事も中途半端は得られるものがありません。






",0,10,"1,068",2025/5/24 23:13:23,https://www.threads.com/@pu__ko.sns/post/DKCgwtizOCM
,"えっ、楽天アフィしてて成果報酬だけチェックしてるなんて人いませよね？？？私は毎日欠かさずにショップ別と注文明細のページを見るようにしてます。私のリンクを踏んでどれだけの人がどんな商品を買ってくださったか確認するために。自分の言葉でどれだけ買うという行動に持ち込めたか、アフィするなら1番分析すべきところです。成果報酬で喜ぶんじゃなくて、自分が紹介した商品が売れたことに喜びを感じてください🥺






",0,20,"1,619",2025/5/25 13:41:34,https://www.threads.com/@pu__ko.sns/post/DKEEHfwTkBB
