スクショ,投稿文,リプ,いいね,インプ,日時,URL
,"はじめて書いたnote
【月に173万円】になりました。

でも、よくある
「仲間と協力して一緒に伸ばした」
みたいな話ではありません。

正確には──
「できませんでした」

僕、人見知りでして。
親戚相手でも緊張するレベルです。
でもそんな僕でも、noteは売れました。

だから、同じように繊細さんでも
noteをたくさんの人に届けられるよう
僕の手法を全ておしえます。

フォローして待っててください。








",52,189,"10,000",2025/6/19 13:24:50,https://www.threads.com/@boku.noter/post/DLEaEvWz4t7
,"《それでは一生、売れません》
「Threadsは全員で盛り上げよう！」って、
最近よく見かけますよね。
コンテンツ販売者がこのノリに全乗りすると、むしろ逆効果になることもあります。
↓

例えば...
☑︎大手に絡みまくる
☑︎インフルエンサーに過剰反応
☑︎引用リプで崇めまくる
→やりすぎると「媚びてる人」認定されます。
職場でやたら上司にすり寄ってる人を見て
「この人の下で働きたい」と思えますか？
SNSも同じ。そんな風に見られたらあなたのコンテンツを買いたいと思いません。
一緒に盛り上がるのは大賛成。
でも「誰に見られているか」「どう思われるか」は、常に冷静に見ておきたいところ。
未来の顧客は、意外とそういうとこ見てます。





















",1,17,"1,824",2025/6/19 17:47:27,https://www.threads.com/@boku.noter/post/DLE4IRpTbJW
,"フォローしてくれた人ありがとう☺️
10日後にフォローしてよかった
って絶対思わるので安心して下さい💪






",0,30,"1,892",2025/6/19 20:38:08,https://www.threads.com/@boku.noter/post/DLFLqYxzCpY
,"threadsでつまづいてる人の共通点
周りがベテランばかりだから
その人たちに負けじと
難しい事言おうとしてない？？
そこがもったいない。

表面上は出てないけど初心者の方が多い
そこをターゲットに動く人が売れる。
僕はそこを意識して170マソ売れた。

これだけで意味わからんと思うから
もっと噛み砕いて説明していくね🙋







",0,21,"1,989",2025/6/19 21:30:01,https://www.threads.com/@boku.noter/post/DLFRmW6TG0N
,"うん。やっぱり思った通りでした。
n oteたくさん売ったアカウントでも
した技をここでも使いました。
いい感じになってきました。
ここからフォロワー増えていきます。
↑
もったいぶってるけど、この方法
次のポストで解説するから待ってて下さい☺️

次のポストっていったけど
すっかりわすれておりました！笑
明日絶対説明します！！！笑
そしてこんな感じでその技で
こんな感じで増えてます。



























",1,15,"4,725",2025/6/19 22:17:29,https://www.threads.com/@boku.noter/post/DLFXB-Oz-_d
,"ちなみに今月すでにこんな感じです。
n ote書き始めて1ヶ月と20日です。




















",3,43,"3,113",2025/6/19 22:57:24,https://www.threads.com/@boku.noter/post/DLFbmTwzESC
,"🌻threadsで伸び悩んでる人の特徴🐝
①リサーチ不足
②マネに億劫になっている
③投稿数が足りない
これにつきます。
ツリー形式で解説します。

《リサーチ不足について》
バズるネタや言い回しは決まってます。
つまり同ジャンルで伸びてる投稿を
ひたすら保存。保存。保存。
どんな冒頭なのか？
どんな内容なのか？
どんな文末なのか？
分析しましょう。

《マネが億劫になってる》
初心者で成長するために1番大事なのは
マネをすることです。これに尽きる。
ただし丸パクリは絶対にダメです。
伸びているアカウントのマネをする事が
1番の成長につながります。
初心者のうちはひたすらマネ。
伸びてきたらオリジナリティを出しましょう。

《投稿数が足りない》
伸びない😭という人のアカウントを見ると
投稿数が少ない。伸びるわけないです。
最低でも5投稿。
人生変えたいなら毎日10は頑張りましょう。
量より質です。
※僕がしてる投稿のネタ集め方法も
今後シェアしていきます👌














",6,27,"2,564",2025/6/19 23:41:46,https://www.threads.com/@boku.noter/post/DLFgrXKTyAj
,"あと◯人で。ありがとう😭
そしてやっぱりコメントもらえると
すごいやる気になります😊
threads運用×noteは得意なので
何でもコメントで聞いて下さいね！






",9,31,"2,536",2025/6/20 1:16:26,https://www.threads.com/@boku.noter/post/DLFrgupzyNJ
,"これの伏線回収です。
言った通りフォロワーさん増えてきました。
この方法で他のアカウントでも
フォロワーさんを増やしました。

群れなくても全く大丈夫です。
一人でもやれまさ。心配しないでいいですよ。

でもthreadsのわちゃわちゃ
みんなで伸ばす文化も大好きです😊

伝えたいのは自分を壊してまで
自分に合わない方法をとらなくて良い。
方法はいくらでもあります。
自分に合う方法でいきましょ。
























",1,23,"2,614",2025/6/20 2:09:29,https://www.threads.com/@boku.noter/post/DLFxlMczXjW
,"昨日言ってたこの方法で
もうすぐ◯00人です☺️
めちゃ焦らしてすいません！笑
これはわざとじゃなくて、
洗濯とか家事をしてました。笑

この後やりあげてシェアします！
お待ち下さい☺️

そさてコメントも嬉しい😭
わかる！わかる！って言ってくれるの。
みんなの役に立てるように
ほんとに頑張ります！！






















",3,24,"2,391",2025/6/20 13:03:12,https://www.threads.com/@boku.noter/post/DLG8ZPRznxj
