スクショ,投稿文,リプ,いいね,インプ,日時,URL
,"マーケの腕試しのつもりで始めたThreadsとnote、
気づいたら2ヶ月で約60万売れてて引いてる😂
・有料記事とか買ってない
・紹介で回してもない
・怪しいこと一切してない
ほんとに「ちゃんとしたやり方」で初月から成果出せたから、ゼロイチとか言って悩んでる人こそ、この方法ハマると思う。
今さら確定申告のやり方で悩んでる私が言うのもなんやけど←
再現性あるやり方をストックするためにこれから投稿していくので見たい方はフォローしてくれると嬉しいです！



































",0,137,"13,000",2025/6/5 18:16:57,https://www.threads.com/@luna___marketing/post/DKg4YBWy2mK
,"Thrreads始めて2ヶ月で60万近くゲットした方法を書いていくけど、よくあるように「で、どのアカウントで運用したんや」というのをなくすためにちゃんと最後にどこかで公開しますよ。笑

そこでアカウント見て、あーこの人か！ってなって欲しい笑

ちなみに直近30日の実績とせとくね。





















",1,79,"15,000",2025/6/5 21:29:19,https://www.threads.com/@luna___marketing/post/DKhOY6iSr4t
,"あと、ごめん、楽天アフィリエイトとかは一切やってない。

個人的にやけど毎回投稿作って…ってやるのがタイパ悪いなと思ってできなかった（続けている人本当に尊敬なんよ）。
有料note一個だけ。そしたら資産になるしね。

やったことは沢山あるから、
まずやってないこと書いとくね

・師匠？をつける
・高額な有料記事買う
・無料記事を書きまくる
・自分のnote宣伝しまくる
・共感を誘う投稿しまくる
・フォロー、コメント、いいね周りする
・紹介でまわす（仕組みよくわからん）
・本垢の売り方が「売り方を売る」やつ

わかってないだけやけど。笑
あとアカウントも、これと本垢だけ。

とりあえず全部独学。
というか、毎日仕事でやってるマーケをスレッズに応用した。

あとで1番大事なこと投稿するから見ててね。

これ、全部やってないんですか？！すごい！




",5,225,"21,000",2025/6/6 9:50:42,https://www.threads.com/@luna___marketing/post/DKijPDiSERw
,"今から1番大事なこと言うね。

それは、差別化すること。
なんだよく聞くワードじゃん〜と思う？

私はここを徹底して初月から23万、2ヶ月で60万稼いだよ。

どのジャンルで発信するのかももちろん大事だけど、どこでも少なからず競合はいる。

だからこそ差別化する。
内容、タイトル、投稿、色々あるけどぜんぶ差別化。
絶対埋もれちゃダメ。今からでも全然できるよ。

このアカウントで、
私の独学Threads × noteノウハウを1ヶ月くらいに渡って垂れ流してくけど、

私がみんなに伝えたいテーマは「差別化」。

だから投稿は一定数見られたら消してくよ。

ずっと全体公開してたら差別化の意味ないからね😂




",2,300,"25,000",2025/6/6 11:07:26,
,"とは言ったものの、
ジャンル選定って難しいし多分みんなが1番気になるところよね。

ということで、次の投稿では

・個人的にどういうジャンルがいいと思うか
・私の本垢ジャンル

こっそり書いとくね。

まとめてきまーす✌🏻
見たい方はリアクションくれるとまとめ頑張れる。（単純）





",8,456,"11,000",2025/6/7 0:51:35,https://www.threads.com/@luna___marketing/post/DKkKVTmShR0
,"大前提の話をしてなかったんだけど、
マーケティングにおいて絶対はないし正解もない。これはThreads運用にも言えること。

だから表面的なノウハウを真似しても意味がない。だってそれをみんながやり出したら、あーまたかって思うから。

例えばよくみる途中で文を終わらせてツリーに繋げる方法、
確かに気になって押してしまうかもだけどそういう投稿が溢れすぎて、みてる側からすると冷めちゃうかもね。

こうやって顧客の行動は変容するから常に情報収集をし続ける。
そして「差別化」をする！

マーケティングの本質を理解して、正解はないThreads運用に活かしていくだけ。





",1,81,"7,426",2025/6/8 18:49:33,https://www.threads.com/@luna___marketing/post/DKoqfbOS4-l
,"ごめんなさい。しんどいです。

本アカやこちらの界隈の方と差別化するためにこういうキャラでこちらで始めたけど、しんどい。笑

私の本アカを知ってくださってる方は分かるかもですが、本っっ当にこんなキャラじゃないしめちゃくちゃ人と絡むのが大好きなんです。私は基本的に人が大好きです。

収益化目的にキャラ設定して差別化するのがしんどくなりました。自分が差別化大事って言ってるのに。笑

でも今まで本アカで収益化するために誰かの有料記事買ったりせずに自分のマーケティング力だけを信じてやってきたのは本当なので、それは投稿続けてますね。

ただ、他の人が発信されている有料記事っておそらく本当にすぐに使えるものだったりかなり有益なものばっかりだと思うので、いつか自分の発信している内容と答え合わせの意味で誰かのを買ってみたいな。違ってても合ってても勉強になりそう。

あと、最後に本アカを公開すると伝えてて、本当にnoteで公開しようと思ってたんですが、それはかなりリスクがあるのですね（無知すぎ）笑

なので、嘘はつきなくないから公開はするけど、少数の限定とかにしようと思います📔




",11,148,"17,000",2025/6/10 12:35:53,https://www.threads.com/@luna___marketing/post/DKtJUVFSGdW
,"私が今マーケティング分野で参考にしている本、「プロセスエコノミー」。

要は出来上がった商品ではなく、その過程に価値があるので、それを売るという仕組みなんだけど、クラウドファンディングやInstagramでよく見る「○○日後に〜を達成する」みたいな運用が代表例。
今の時代、どれだけ質の良い商品を作ったとしても、似たような安価な質のいい商品が沢山出てきているため、商品の価値自体で勝負するのは難しくなったという背景があるそう。

これはまさしくThreads × note分野で、すぐに収益化（0→1）を達成したい人におすすめの手法だと思う。

ただ、プロセスエコノミーはThreadsに溢れまくっているため、

・その過程自体が常に面白い、興味を引くものでないと収益を維持するのは難しい
・そもそも最後の商品（＝達成した実績など）の完成度が高くなる前提でないと信頼は失われてしまう（これは、最初にお話しした質のいい商品が溢れている＝質が良いことが前提になるので）

という点で、運用自体にきちんと設計と戦略がないと厳しいんじゃないかなと思ってる。




",0,61,"5,171",2025/6/14 22:14:17,https://www.threads.com/@luna___marketing/post/DK4esJ9yT2Y
,"以前からフォローくださってる方は知ってるかもしれませんが、私の発信しているジャンルは本当にネタが尽きないし、なによりずっと発信していてしんどいなぁとならないと思う。（大事）

例えばアツいと言われているジャンルでも、
本当はこんなこと呟きたくないなと腹落ちしていないとしんどくなると思う。

これから安定的に収益を伸ばしたい＝SNSで発信することは止められないわけで、「騙しではなく誰かの役に立っている」「自分自身のためにもなるし、なにより怪しさがゼロ」という点で、私のジャンルはおすすめ

はじめまして、嬉しいお言葉をありがとうございます。
これからもよろしくお願いします☺️🤝🏻
",2,115,"9,434",2025/6/19 9:00:34,https://www.threads.com/@luna___marketing/post/DLD71LmyG51
,"ずっとPDCA回してると、
”有益情報の投稿以外で”フォロワーさんが増える投稿の型がもうわかってきてしまった。

再現性はあると思うから、
最後アカウント公開（数量限定note）とともに型を載せたいな。

いつになるかわかりませんが、頑張ります…！🙇🏻‍♀️




















",4,72,"5,772",2025/6/23 19:22:16,https://www.threads.com/@luna___marketing/post/DLPWKLjSgB_
,"😂せめて文変えて笑









",9,50,"7,912",2025/6/24 21:04:23,https://www.threads.com/@luna___marketing/post/DLSGo7dvKzd
,"深夜なので呟くね（関係ない）
いつも言ってる差別化、今1番手っ取り早くできる方法あるんやけどなんだと思う？

それはAIを使わずに投稿すること。

簡単でしょ？笑

正直、巷で非かせぐ？かせぐ？とか言われてる界隈の人たち、（＝要は収益目的）どっちもみんなノウハウnote買ってて多分やけどchatGPTのプロンプト的なの使ってると思うんよね。特に共感系の（知らんけど）

もうね、一瞬でわかってしまう😂
分からなくても、人が書いた生身の文章ってだけで差別化できるの、めちゃくちゃ。今のThreadsって。

とはいえ全部自分で考えるのむずいししんどいし、ってなると思うから上手く共存するのがポイントだと思ってます。このあたりはまたいつか。




",9,113,"5,185",2025/6/25 1:15:43,https://www.threads.com/@luna___marketing/post/DLSjZ1TSeLj
,"本職がマーケターなので日頃からSEO、課金しまくった色んなAIツール、いろんな企業のマーケティングの取り組みを常に学べるのがありがたすぎる。これらをどうにかしてThreads × note運用に活かしたい。本業での市場価値を高めながらこっちでも収入を得られたら最高だな。





",0,60,"3,969",2025/6/25 14:17:34,https://www.threads.com/@luna___marketing/post/DLT84R1yXxe
,"やっっと覚悟決めました、

「職業マーケターが2ヶ月で60万達成したリアルな方法」のnote公開します
誰のnoteも買ってない。完全独自の方法だよ。

本業のマーケターとして培ったスキルを駆使した全プロセスをシェアします。

でも、ごめんなさい
最初にお伝えしていた通り、私の“本アカウント”も公開するので部数限定で。

もしそのあと部数が売り切れたらノウハウだけの内容に切り替えます。
でも私のジャンルは公開して特徴にあわせてガッツリ解説するので多分感がいい人は分かると思う（笑）

ちなみに、私がこのジャンルに参入した2ヶ月前に比べて競合はだんだん多くなってる。
めちゃくちゃ本業が忙しいタイミングなんやけど
チャレンジできる人は早めがいいかなと思って2週間くらいで完成させたい。
ここで宣言しないと絶対やらないと思って。笑

そしてマーケティングって正解はないしどんどん更新されていく。だから私が本アカウントを運用するうちに学んだことも随時追加していくnoteにするつもり。

見たい人がいたらぜひリアクションで教えてください（私のモチベーションになります…）💪🏻





",33,298,"6,097",2025/6/25 22:07:25,https://www.threads.com/@luna___marketing/post/DLUype-SqeX
,"タイトル変わるかもですが、朝と寝る前と、コツコツ書いてます。（日々寝不足…）

このタイミングで本業マーケ職が忙しすぎて泣いてます。。公開遅れたらごめんなさい。

ちなみに最初の部数限定の、本アカウント公開記事はフォロワーさん限定にしたいので公開する時は🔐アカにするつもりです。

あとは、価格や部数を全く決めてなくて（よくみる意味わからん価格にはしません🥹）ブラッシュアップの意味でも数名の方にモニター？っていうんですか、、？をお願いしたくて。

このあたり、また決まったらお知らせします。





























",13,134,"3,723",2025/7/1 0:00:07,https://www.threads.com/@luna___marketing/post/DLh3hSgyQVm
,"ここでもう一回だけ、私がやってないことを書いておくね

・高額な有料記事買う
・無料記事を書きまくる
・自分のnote宣伝しまくる
・投稿がnote関連（宣伝）ばっかり
・共感を誘う投稿しまくる
・フォロー、コメント、いいね周りする
・紹介でまわす（仕組みよくわからん）
・本垢の売り方が「noteの売り方を売る」

なんか最近は「noteの売り方を売る方法（ややこしい、要はエアプ？）」もあるみたいだけどそんなの小手先のテクニックじゃない？と思ってしまう人です。ごめんなさい

もちろん小手先テクニックも大事だけど、私は日々のお仕事、マーケティングを活かして本質から戦略設計したよ。
小手先テクニック使ってもその時売れるだけで安定にはならないしね。

大事にしてること、一つだけお伝えしておくと、「ペルソナ設計しすぎない」です。最初はめちゃくちゃしっかりするけどね。全て戦略。







",4,164,"7,583",2025/7/1 22:35:33,https://www.threads.com/@luna___marketing/post/DLkSo0GylaY
,"深夜なので呟きますが、ここに書いている通り、実は初めてこっちの界隈の有料記事（しかもかなり高額）買ってみました🥹

理由は明確で、自分も同じようにこっちで商材を提供しようとしているので、自分の価格と中身のレベルが見合ってないといけないなと思ったから。
だからそこそこ有名？な方で、結構な額のものを買わせていただきました。

結論、色んな意味で衝撃でした。（1人しか買ってないので他の方は沢山いい商材の方いると思います）

1番しんどかったのは、わたしが最も避けていた「noteの売り方を売る方法」だったこと。

わたしはこんなやり方はしない。
変に自信がついたので逆にお釣りが来るくらいの勉強代にはなったかもです。笑


















",2,106,"4,858",2025/7/2 0:10:31,https://www.threads.com/@luna___marketing/post/DLkdgY9yBOF
,"煽りについて

「また売れました！」
「あと一部で値上げします」
「もう売り切れてしまいました」

いわゆる希少性や限定性を訴求して売り上げを伸ばす方法はマーケティングのやり方としてもきちんとあるし、有効な手段ではあります。

でも、大手企業のマーケ担当の方は口を揃えて言うんだよね。

「信頼やイメージを損なうので、あんまりこういうやり方はしたくない」

もちろんその時は売れるかもね。即効性はあるので。でも、あなたが目指したいのはその時に売れることだけですか？安定的に収益を伸ばしたいなら、まずはこの人から買いたい、という信頼を蓄積することが大事なのに、逆行してない？と思って、いつもこの界隈を眺めています。小手先テクニックってこういうことだね。





",5,140,"7,965",2025/7/2 13:00:16,https://www.threads.com/@luna___marketing/post/DLl1mQVSFq7
