予約投稿日時,予約投稿時間_時,予約投稿時間_分,ポスト文
2026/02/05,9,0,即レスは、ドキドキ。5分後は、余裕。2時間後は、様子見。翌日は、もう興味がない。既読のタイミングに、本音が隠れてる。
2026/02/05,14,0,「返信こない」って悩む時点で、すでに心の主導権、相手に渡してる。本当に大事にされてる時って、そんな不安すら湧かないよ。
2026/02/05,21,0,彼にLINEで気持ち伝えるたびに、「ごめんね、重かったよね」って謝ってた子がいた。言葉にするたびに、愛されるどころか、引かれるのが怖くて。でもね、その子ある日気づいたんだ。
2026/02/06,9,0,「彼にとって都合のいい女だったかも」って言ってた子が、みんな共通してこれやってた。・会えない日を数えない ・LINEの返信が遅くても追わない
2026/02/06,14,0,彼氏にずっと愛されてる子って、だいたいこれしてる。・「寂しい」ってちゃんと言葉にする ・LINEが短くても責めない ・デート後は必ず「今度はいつ会える？」って言わない
2026/02/06,21,0,都合のいい関係って、相手が悪いんじゃなくて、自分の心を後回しにし続けた結果だったりする。
2026/02/07,9,0,恋愛で毎回拗らせがちなら、まず試して。①不安になったら深呼吸 ②SNS監視をやめる ③恋愛ノートをつけて冷静な自分と向き合う。経験者だからわかる、これガチで効くやつ。
2026/02/07,14,0,恋愛のたびに不安で情緒不安定になってた。返信が来ないだけで泣いて、自分が嫌いになってた。でも本当に変わったのは「相手を疑う」のをやめた日。
2026/02/07,21,0,朝から会うのは、本気。ランチだけは、安心。夜だけ会うのは、都合。深夜だけは、遊び。「何時に会うか」って、意外と真実。
2026/02/08,9,0,彼のせいだと思ってた。でも、心を後回しにしてたのは、いつも私だった。
2026/02/08,14,0,会えない理由を100個並べられるより、「会いたい」ってひと言だけの方が、本気って伝わる時あるよね。
2026/02/08,21,0,「私ばっか好きじゃない？」って思いながらも、平気なふりして笑ってた。でも、我慢してる時点でもう対等じゃないんだよね。
2026/02/09,9,0,無敵メンタルは、自分を一番にした瞬間から始まる。
2026/02/09,14,0,「会えないと死にそうって、これって愛？」それ、たぶん違う。本気の恋は心を奪うんじゃなくて心を守るもの。
2026/02/09,21,0,何を送るかより、送る前にどれだけ不安だったかが答え。その時点でもう、あなたは我慢しすぎてるのかも。
2026/02/10,9,0,彼からの返信がそっけなくても、「私が何かした？」って思わない。愛されてるかは、文字数じゃ測れないから。
2026/02/10,14,0,無敵メンタルは誰でもつくれる。拗らせ卒業したい人はフォローして。
2026/02/10,21,0,恋愛で不安になってスマホ握りしめて泣いてた夜...そんな自分が今じゃ「既読スルー？まあいっか」って笑ってる。
2026/02/11,9,0,怒るのも、泣くのも、嫉妬するのも、全部していい。ただそれを「自分で認めて、自分で整理する」って力があるかどうか。
